text,label
Good shoe for office work. They will scuff very easy so be aware.,3
"I have had the Patricia II wedge in black for about 1 year & wore them regularly in season.  When I saw the Patricia at a good price in navy (from 6pm), I purchased them because I thought they would fit just like my Patricia IIs.  I was wrong, and paid the price with return shipping that 6pm doesn't pay.<br /><br />The crocs website says that crocs aren't suppose to fit like other sandals - they are suppose to be looser & thus more comfortable - I normally wear an 8-1/2, so have now tried both an 8 & a 9 in the Patricia shoe (I have an 8 in the Patricia II).  The Patricia 9 swims on my feet & they would be a hazard to walk around in.  The size 8 fits my left foot (which is my wider foot) but is too narrow on my right foot.  When I placed the shoes sole to sole, I did notice a slight difference in the width, which, apparently, my foot notices too.  I can only conclude a manufacturing defect.  But, it is this shoe specifically or the form for this shoe? (others have written the shoe is narrow).<br /><br />Consequently, if you have a wider foot, order the Patricia II instead of this one & if you are a 1/2 size, order down, not up.",1
Width not right and size too small if width had been just little wider and ordered size larger would have been good. Loved the shoe look,1
"I received these shoes and they weren't the same as the picture described them, they were a different color. When i tried to return them, the shipping wasn't paid for. So i had to pay $20 for shipping. A waste of time and money. I dont recommend anyone to buy from TheSmartBuy.",0
They began to split alone the mesh material after a month but loved the shoe and the feel of it,2
"Excellent shoes ,  very confortable and litgthweight !",4
"Usually love Ethnies product. In this case the raised arch area of one shoe is too far back and raised to the point of discomfort.<br />The other shoe fits fine.?? Had to wear em before I figured it out so im stuck with em.<br />Also, they do run a bit narrow(or at least one shoe did) ;)",0
Could not get my foot into the shoe.  Was disappointed and returned them.,1
Everything about the boot is great.,3
"Nice looking shoe, okay for short-term wear.  Much narrower than other size 11's  that I have - tight fit!",2
"The shoe was the EXACT color I was looking for but... You get exactly what you pay for.  Poorly made shoe.  Fit comfy but the heel feels like it wobbles a little when I walk.  Was going to wear them to an outside wedding, decided againt it.  This shoe is probably more for a day at work.. or church. No where there would be a lots of walking around.",2
"I loved how comfortable these shoes felt when I put them on.  However, after a while, my big toe rubs against the toe cutout.  To prevent the rubbing,  I wear the shoe with a Band Aid across my toe and it helps.  Donald Pliner is my go to brand for shoes. I am a little disappointed with this pair.",2
Slippers fit great. Nice and cozy.,4
"These shoes are cute as several people have said, however, they are cut low and do not lace all the way up to your ankle. I was concerned that they would slip when walking the golf course, so I returned them. Too bad.",2
"Pros: They are very comfortable. I wear them all day long, every day with no complaints. They are also well ventilated to keep your feet cool. This makes them a little more prone to your socks getting wet from a puddle but not a big deal.<br />Cons: They aren't built to last. 4 months after I bought them they are junk. The rubber bottoms on both heels fell off. The side stripes are falling off, and the toe soles are coming off now too.<br />I've been wearing Asics for the last 10 years and this is the worst quality pair I've ever owned.",1
"These look great, the lenses are nice color and mirrored, and the matte finish is really nice. The good stops there.<br /><br />As soon as I put these on in my car I immediately notice big reflections that were very bright and hard to ignore. I thought that maybe I had left a sticker or some kind of plastic cover on the inside because it was crazy.<br /><br />The INSIDE of these are so reflective that it takes the light from the SIDE and BEHIND you and point it right back at your eyes.<br /><br />I seriously couldn't believe that these glassed meant to block out sunlight were actually reflecting it back into my eyes. I've bought a ton of stuff on Amazon and these might be the first I return.<br /><br />Truly truly useless.. DON'T BUY.",0
"I was expecting it to be great, but they do run small. It cuts into my ankle and i can't wear them to work as it was its purpose.... Highly suggest buying a size up.",0
Fitted smaller than expected,2
Fits well.,4
"The quality is awful, shoes started falling apart the first week I had them. Not the first fakes ( or at least very poor quality items) that I have received from Amazon",0
"True size 9, very comfortable and pretty. These were purchase to wear on campus, during heavy course days, that requires plenty of walking.",4
The shoe looks amazing but the width is too small .i really like the look,2
I only have worn them once or rwice but very comfortable and supported my feet for  good length of time. I wish you had WIDE shoes thank you,3
Good sunglass,4
"Not very flexible. Top strap is stiff, not pliable at all. After a week of use, there was little sign that it will relax any. Plastic from strap has sharp edge that irritated my foot top.",1
"for the price, I am disappointed that the paint or whatever the outside layer is, is peeling. They also scratched SO easily. But the pink lenses have been awesome.",2
"Comfortable. I wear slippers all the time at home.  These are a bit warm for the summer, but very good overall.",3
"My mom always had these shoes for my sister and I when we were babies (or a very similar style), so I thought they'd be great everyday shoes for my one year old.  She already had shoes she was about to grow out of, so I got the next size up in advance so we'd have them when she was ready to wear them.  I tried them on her when they arrived to check on the width issue based on other reviews, and it seemed she'd be able to wear them.  In the six weeks since then, her feet have not just grown in length but width as well, because now that her feet are long enough for the shoes, there is absolutely no way I can velcro these shut without squeezing her poor little feet!  In addition to that, the first time I even tried to get them on her, the loop that holds the strap in the middle popped right open (the seam came apart).  I immediately got on my computer to print a return receipt only to discover the return policy is only 30 days on these (I'll admit I'm used to returning items to stores that have 90 day policies).  Now I have a pair of damaged, too-small shoes that we will ever even use.  What a waste!!",1
Not quite what I expected.  Sized small. Still like them though.,2
is big for me ...definitely return it back.shipping was good and fast.,1
These New Balance shoes have not lasted nearly as long as other New Balance shoes I've purchased. I have had to repair the sole of one and now the other sole is coming apart. I'm very disappointed in these shoes.,1
nice looking...hopefully will wear well,2
"I am preparing to return them.  They swallow my feet. Thy may be fine but are not available in my size, so I've ordered another style..",1
Doesn't really hold the shoe together.,1
"I have converted my whole family to Tubes and a handful of friends. I love these shoes. The leather ones like these are a little warm but just as comfy as the rest of my tubes. I'm on my 3rd pair in 4 years and where them just about every day. The only downside to these shoes is they can be slippery on some surfaces, especially when wet. Be careful!",3
"I don't understand all of the good reviews these hiking shoes are getting, I bought a pair about 14 months ago, never used them on rough terrain,  mostly trails and sidewalks, and I walk between 1 and 3 miles a day. After owning the boots a couple months a piece of rubber broke off the front of the sole, but it was no big deal, it was by the toe and not the part that touches the ground.<br /><br />  They are advertised to be water proof,  but one day about a week after buying them I was out walking in a very heavy rain, and walked through a few shallow puddles a couple inches deep, by the time I got home my feet were soaked, so much for them being water proof, actually I would not wear them if it was raining hard or I expected to be walking in wet grass or whatever because the water always soaked through.<br /><br />  The final straw was about 4 months ago when the soles separated from the uppers on both shoes, the holes were big enough for me to put three fingers in by the time I stopped wearing the boots.<br /><br />  One thing I will say Salmon has excellent customer service, I called them explained my story, they sent me a brand new pair of boots, I hope they are better then the first pair.",0
I wear a 10.5 ordered 10..fits great!  Real fancy!  Love the color.. Just gotta wear them in.. Neck is stiff.. First pair of cowgirl boots I have owned!,3
"I couldn't wear the right shoe for more than 5 minutes. It was so tight across the top of my foot that it caused bruising.However, my left foot enjoyed the shoe very much. I have never experienced such a discrepancy between left/right fits.",1
The size is too strange,2
We bought this for my aunt to go to the beach in but they were too heavy. The wrong size was delivered as well :-(,1
I shall return them as soon as I can. I'm afraid they did not fit as expected. I'm sure the slipper is fine if you have smaller and narrower feet than I do.,0
Basic shoes.,3
Love the shoes.they look exactly like the picture.,3
ok for the present time,2
Great bag for weekends.,3
"excellent, very good",4
Runs a little big,4
"These shoes are comfortable but sound much when I walk wearing them , and the noise they make is horrible! !!!!!!!!!",1
"it's cute, functional, it's fun an I love it",4
"Shoes fit great, are super comfortable and look great.  I love them!",4
"Not comfortable at all,but cute ok for sitting and posing.",2
Too small in the toebox,1
Very disappointed.........strap around toes too wide,0
I bought these for my hubby for christmas. We are now in August and they have totally fallen apart. They started falling apart months ago but the whole sole has come off now. He is not rough on his shoes was rather disappointed.,1
What I was looking for my son love them,4
Best walking shoe ever for obese women!,4
"Love them. Just a teensy bit small but once they are totally broken in, I feel they will be totally fine!",3
Wasn't worth the price. They were stiff and hard to walk in. I returned them. Not like .picture.,1
Love Melissa shoes.  Have many.,4
I absolutely love the Telic Flip Flop.  I have a bad back and I have a hard time finding comfortable shoes. Telic Flip Flop is the BEST!  I recommend this shoe to anyone with back problems.,4
"The sunglases was elaborated with good material and very good finished, beatifull designer as a imagen, but very big.",3
The picture is fabulous but the material is scratched up and foggy,1
Really cute. Was excited to wear them. Until I got horrible blisters on both of my heels. Didn't take long either; probably 20 minutes of wear was all it took. Disappointing because they are stylish.,1
They fit nice,3
I dont wear heels often but am very happy with these. I really think Seychelles sells a quality product that lasts for years.,4
"I am happy I purchased the wallet,  it is lightweight and organized.",4
"Although I was able to get my foot in these shoes at a 9, the shoe was a bit narrow for my B width and did not look attractive on my feet. I had to send them back.",1
"bought these shoes for my son --very stylish, he loves the color contrast, they feel good and have good support",3
"Possibly the worst shoe I have ever bought.  That is not a hyperbole.  Take a look at the photos.  In less than 5 miles, I repeat, less than 5 miles, these shoes were destroyed.  Literally falling apart.  This was not even a trail run.  This was a hike on a very laid back trail.  The lugs were tearing and ripping off.  Take a look at the pics.  One of the red lugs actually ripped off.  1/4 of all the lugs had torn, in less than 5 miles.<br /><br />Alright, so there is zero durability in these shoes.  I mean, if you can't even get a sole right, I don't expect you to get the rest of the shoe right, and they didn't.  The shoe narrows and is not as wide as I had hoped for.  I had to wear a size .5 larger than normal, to allow my small toes room.  This is because the shoe narrows to a point, as opposed to slowly tapering towards the big toes.  Merrell has this down, Vivo does not.  The shoes were slopply, lacked grip and durability.  I mean, I just can't say enough bad things about this shoes.  The lacing system is just dumb.  Just put normal laces on your shoe.  They don't stay tight, and they don't allow you to customize the fit, as much as normal laces.<br /><br />Trail Condition: Rocky<br />User weight: 175<br /><br />CONS:<br />-Zero durability - lugs tore off and separated in less than 5 miles of walking - side of shoe tore<br />-Fit is all wrong - front of shoe comes to a sharp point which means you have to size up to fit your small toes in.  Shoe is narrow in comparison to many other barefoot brands.<br />-Lack of grip - you would think it would be superb and that is why the sole is so mushy, but no, the sole is mushy and not grippy<br />-Ugly as can be<br />-Too much cush, and still does not protect from rocks<br /><br />I'm done, I'm trying to think of the best way to describe how awful this shoe is.  Just don't buy it.  Honestly, I'll never buy another vivo and will steer others away.<br /><br />For reference, my favorite barefoot trail shoe to date, is the Merrell Trail Glove VERSION 1.",0
Shoe is comfy but very heavy so cant wear for too long,3
"The material was a little stiffer then would like even though its canvas. I got bruises from wearing 8 hrs at wok and being on my feet constantly. Otherwise, fit was true to its size.",2
"Always liked Adidas, these are no different",4
"cute shoe but they run a little small. I ordered a 11, but it's more like a 10.5",3
The glasses look good but frankly I have serious doubts they are originals. I've bought these glasses a couple of time in airports and the quality of the glass is far superior. It's like they have a pink film or something... when I see through any other glass with any kind of protective film it's like seeing a dot rainbow!,1
Nice fit and quality shie,3
"I wear a size 7, nothing but a 7, and 7 has been faithful to me all through the years. However, these shoes were way too tight! They are adorable and I love the way they look, but I cannot wear them. Reviews led me to believe they were true to size. No way!",1
Overall length and heal size fit well.  The width at the bridge of the top portion of the foot is tight.  Expect it will stretch as they break in,3
"Cute and roomy bag that is well constructed and sturdy...except for the strap!  I did not place anything unusually heavy in the purse, and the clips used to hold the strap are broken.  I would not suggest this purse if you plan to use it mostly as a crossbody bag.",1
"worst frame.looks so fake,loose lens and the frame too. cant return it now because the return date is over :/..",0
Great looking shoe.,3
"UPDATE:  I ended up returning these sandals because the clasp mechanism is simply too difficult to use.... Left me feeling frustrated every time I tried. I cannot bend around my leg and see the ankle well enough to use  a .25 inch  hook/ clasp. Too bad because they are cute. ********************************************************************* These are attractive comfortable shoes. Unfortunately the clasp/ buckle system is not explained anywhere... and as a result the last reviewer returned the sandals. Manufacturer take notice: INCLUDE INSTRUCTIONS!!  It is a sort of quick release system that I figured out after 10 minutes of playing with it... Almost gave up. You never actually &#34;unbuckle&#34; the strap you just slide the buckle part upwards to remove it from a small U shaped metal piece located on the the rear strap. To re- attach you slide the front strap with buckle back into the u shaped  piece attached to the rear strap. There is a small amount of elastic on the U shaped section to help realign the straps together. In my opinion this elastic could be a lot longer.... and easier to see, easier to attach, easier to notice something is going on here..  It may take some getting used to this system because it is hard to bend my head far enough over the side of my legs to see over the ankle. You have to be a contortionist :-)  Otherwise these are nice looking, feel good on the feet, no rubbing, smooth foot bed with a bit of cushioning. Could have more arch support. And the 2nd strap on the heel of the sandal could use a bit of elastic to make it more of a custom fit.  True to size. I generally take an 8- 8.5 . Need the 8.5 for moderately wide feet (not enough to warrant buying a wide width tho)  The 8 medium fit perfectly",2
"These shoes would be fine with socks, but without socks the rough finishing is uncomfortable. The product description claims, &#34;Soft shoes design and stitch detailing, fresh and breathable lycra net cloth.&#34; The shoes are light and well ventilated (&#34;breathable&#34;), but the stitch detailing and rough edges on the interior is anything but soft.",1
"Hard for me to hook button, I have strokes I have to have my husband do it.",3
Cute style. Cheaply made but worth the low price.,3
I wear a 7 - ordered a size down after reading other comments - the 6 fits perfectly.  Needed flip flops with a higher arch - this fits the bill - it's comfortable.  And - it's not ugly!!!,3
Got them for a great bargain but when the arrived they were lopsided. Had to take them to Lens Crafters and have them adjusted for a good fit and straighten them out.,2
Looks very elegant,3
"I have only worn these during the winter time when it is cold and they stitching in not one, but both of them is coming apart in many areas of these...being the price they were I was truly disappointed!!",1
"school shoes for my son.  He loves them, I think they are to light and will dirty quickly.  We'll see.",3
Love them,4
I have another pair that i bought in a shop size 11. This are size 11 but are larger than the one I have before.,3
I am a true 9. These shoes were short.,0
"I purchased these because they were cute and described as having foam support in the sole. From the picture, it looks as though yes, these soles can possibly hide some foam in them but I was very wrong. They are a normal hard sandal sole and the lighter upper sole is a springy material but definitely NOT foam. If that were the only issue, I may have kept them because they were a good price. However these also run AT LEAST 1 full size small. They also have an ugly soft clear plastic piece behind the jewels (I guess it's for support of the strap?) that is not in the picture and the plastic turns these sandals into very UNattractive.",0
"These are not nearly as comfortable as the ones that skechers sells.  They are definitely made for narrow feet.  They are too narrow in the middle, but stick out about an inch past your toes.",1
"I bought the black version, tried it out for size then bought the brown version.  The M width is wider than other brands and is similar to Dunhams 2E for example.  These are not only comfortable but also WATERPROOF.  If you live where snow exists or a lot of rain and don't like boots, this is a great feature.  So far, I don't even notice that they're on and I have some arthritis in my toes.  My  experience with Clark's is pretty good and I do buy other brands.  Ex., I had good experience with Nunn Bush Camerons (a heavy clunky but comfortable shoe) but their slip-ons hurt to walk in.  Hence, I bought these and am not sorry. To me, they look better than the picture (brown is a rich color but Amazon picture looks like dull brown) and are acceptable for business casual.",4
Excellent,4
I almost broke my neck in these as the bottom is rather slidy for a flat shoe. The color is vibrant hence my high scoring!,1
bad quality. and the 3rd seller dont response your question.,1
"The shoes didn't come with the strap, which we need.",0
Heels were higher than I expected,2
"The look is good, but they do not have arches in them. I have to buy inserts.",2
"This bag was a huge disappointment. The picture showed it to be a bright, pure yellow. When it arrived, it was a faded, dull light green-ish color and the material seemed cheap. I returned the bag.",0
My boots like this fell apart in just a few weeks..HI-TEC is sending me another pair..I guess I will donate them because I do not want to be out camping again and have the side of my foot hanging out on the trail.,0
Very cute shoes. Very large on 14 month old. I will for sure save them for her in the future!,3
The shoes its fine quality but its too solid from inside not recommended for people that stand for too long or have foot issues in general it's good shoes except its too solid inside.,2
These shoes run small i a size up than my regular size and they are still too small and they are expensive so im really upset but they are cute.,1
"Send me wrong color!! Nice shoes, but not what i expected.",2
I took the advice of another review an ordered a half size bigger n there t:oo small these 11s r  smaller than my 10s i will not order  from amazon again i will have to return  them what a pain in the ass,0
"These can't possibly be real Sketchers brand. These sandals do not fit as well as the same pair I tried on in a store. I purchased these from Amazon because of the significant price difference. Obviously the price difference is due to these being knock offs from Amazon. The top strap on both shoes is way too loose and can't possibly be worn since they flop around. The strap is Velcro adjustable, however, the adjustment does nothing to snug up the fit of the sandal. I have an average size 7 foot, so the bad fit is not due to any foot malformation. I will be returning these.",0
