review_id,rating,title,validated_features,bundle_confidence,coverage_score,coherence_score,preliminary_overall_score
0,3.0,Smells like gasoline! Going back!,,0.0,0.0,0.0,0.0
1,1.0,Didn’t work at all lenses loose/broken.,packaging_shipping|durability_reliability,0.3712,0.8,0.8799,0.623
2,5.0,Excellent!,design_comfort,0.2927,0.1481,0.7524,0.3341
3,5.0,Great laptop backpack!,design_comfort|ease_of_use,0.2984,0.1509,0.8544,0.358
4,5.0,Best Headphones in the Fifties price range!,value_for_money,0.2012,0.1379,0.7204,0.2829
5,5.0,Great Fan! I’m a FAN!,performance_quality|connectivity_compatibility|battery_life,0.254,0.7143,0.9389,0.5521
6,5.0,solid sound for the price,value_for_money,0.1805,0.1111,0.7132,0.2627
7,5.0,Love the headphones - great range,design_comfort,0.2964,0.092,0.7537,0.3163
8,5.0,Five Stars,value_for_money,0.1883,0.8,0.7159,0.5079
9,5.0,BUY THIS THANG,,0.0,0.0,0.0,0.0
10,1.0,Not sure why this has good reviews. My devices had a hard time connecting,connectivity_compatibility,0.2986,0.2581,0.7545,0.3756
11,3.0,Works but corners crack,performance_quality|durability_reliability,0.3396,0.8889,0.8688,0.6377
12,5.0,legit,,0.0,0.0,0.0,0.0
13,3.0,marginal sound quality,performance_quality,0.2189,0.2105,0.7266,0.3175
14,5.0,Five Stars,,0.0,0.0,0.0,0.0
15,5.0,... stronger WIFI to my upstairs level & it works great! Great value for the price,value_for_money|performance_quality|connectivity_compatibility,0.3474,1.0,0.9716,0.7006
16,5.0,My kids love the wi fi streaming options,,0.0,0.0,0.0,0.0
17,5.0,Love Otterbox cases,,0.0,0.0,0.0,0.0
18,5.0,Five Stars,performance_quality,0.2028,0.5,0.721,0.4105
19,4.0,Four Stars,,0.0,0.0,0.0,0.0
20,5.0,NO GLUE JUST SCREWS,design_comfort,0.2916,0.2105,0.7521,0.3553
21,5.0,Good choice,performance_quality,0.2903,0.8889,0.7516,0.5921
22,5.0,Good alarm clock,,0.0,0.0,0.0,0.0
23,5.0,Works great!,performance_quality|battery_life,0.2574,1.0,0.8401,0.6338
24,5.0,Great for music/podcasts and receiving calls,,0.0,0.0,0.0,0.0
25,5.0,Nice lightweight sleeve,,0.0,0.0,0.0,0.0
26,5.0,better than I expected!,design_comfort,0.275,0.7273,0.7463,0.5275
27,4.0,Did anyone use this for a recessed TV mount?,,0.0,0.0,0.0,0.0
28,5.0,Don't know why I didn't get one of these years ...,,0.0,0.0,0.0,0.0
29,5.0,Great portable monitor,,0.0,0.0,0.0,0.0
30,5.0,All rounder!,performance_quality|design_comfort,0.1818,0.4706,0.8136,0.4092
31,5.0,"Great, simple, strong",design_comfort,0.288,0.8,0.7508,0.5598
32,5.0,A great device to make any headphone wireless,ease_of_use,0.3099,0.3478,0.7585,0.4129
33,5.0,Big hit at lunch,value_for_money,0.3272,0.3636,0.7645,0.4274
34,5.0,Easy and plentiful,ease_of_use,0.1875,0.1538,0.7156,0.2813
35,5.0,Great RAM,,0.0,0.0,0.0,0.0
36,4.0,good and cheap,,0.0,0.0,0.0,0.0
37,5.0,Does what it is meant to do,ease_of_use,0.1871,0.1143,0.7155,0.2673
38,5.0,Works great with my Samsung Galaxy Pro S5e,performance_quality,0.3202,1.0,0.7621,0.6465
39,5.0,At first seemed DOA.,connectivity_compatibility,0.2895,0.4211,0.7513,0.4279
40,5.0,Protects my power supply from small screws,,0.0,0.0,0.0,0.0
41,5.0,5 stars but be careful that you get what you paid for,,0.0,0.0,0.0,0.0
42,5.0,Cute for photos!,,0.0,0.0,0.0,0.0
43,1.0,Arrived damaged,packaging_shipping,0.5522,1.0,0.8433,0.7671
44,5.0,Great,performance_quality|battery_life,0.1905,1.0,0.8167,0.5991
