review_id,iteration,classify_agent,validation_agent,master_agent_dynamic,iteration_elapsed
0,1,10.47,2.28,0.0,12.75
1,1,10.05,3.19,5.92,19.16
1,2,14.49,2.27,0.0,16.76
2,1,10.7,2.21,0.0,12.91
3,1,11.26,3.61,4.3,19.16
3,2,12.5,2.15,0.0,14.65
4,1,9.72,2.36,0.0,12.08
5,1,10.2,2.2,0.0,12.41
6,1,9.21,4.19,3.23,16.62
6,2,10.74,2.61,0.0,13.35
7,1,10.49,2.63,0.0,13.11
8,1,10.53,2.78,0.0,13.31
9,1,9.53,2.21,0.0,11.74
10,1,9.69,2.47,0.0,12.16
11,1,11.14,2.33,0.0,13.47
12,1,10.01,3.25,0.0,13.26
13,1,9.53,2.93,0.0,12.47
14,1,10.66,2.55,0.0,13.21
15,1,10.59,1.98,0.0,12.58
16,1,9.26,2.65,0.0,11.91
17,1,10.35,2.38,0.0,12.73
18,1,11.69,2.87,0.0,14.56
19,1,10.01,2.54,0.0,12.54
20,1,10.68,2.54,0.0,13.23
21,1,10.32,2.1,0.0,12.42
22,1,11.41,3.48,5.9,20.79
22,2,14.34,25.23,4.23,43.81
22,3,15.64,5.38,0.0,21.02
23,1,12.09,7.85,3.84,23.78
23,2,28.81,4.96,0.0,33.77
24,1,12.09,2.99,0.0,15.08
25,1,14.77,2.28,0.0,17.05
26,1,9.29,2.46,0.0,11.75
27,1,9.84,2.41,0.0,12.25
28,1,10.35,3.87,4.0,18.22
28,2,16.22,2.47,0.0,18.69
29,1,11.12,4.75,4.44,20.32
29,2,12.86,2.08,0.0,14.94
30,1,10.22,2.08,0.0,12.3
31,1,9.91,3.23,3.36,16.5
31,2,11.53,2.42,0.0,13.95
32,1,9.91,2.42,0.0,12.33
33,1,10.99,2.86,0.0,13.85
34,1,10.54,3.37,3.69,17.61
34,2,11.73,4.28,4.47,20.48
34,3,27.08,2.61,0.0,29.69
35,1,10.03,2.79,3.15,15.97
35,2,11.35,2.89,3.36,17.6
