review_id,iteration,classify_agent,validation_agent,master_agent_dynamic,iteration_elapsed
0,1,10.71,4.13,3.94,18.78
0,2,16.36,2.07,0.0,18.44
1,1,12.64,2.59,0.0,15.23
2,1,13.38,2.22,0.0,15.6
3,1,16.76,5.22,9.54,31.53
3,2,26.25,4.47,0.0,30.72
4,1,12.22,4.71,5.12,22.05
4,2,17.11,2.44,0.0,19.55
5,1,14.13,2.76,7.0,23.89
5,2,17.68,2.57,0.0,20.25
6,1,12.57,2.27,0.0,14.84
7,1,11.8,3.55,4.32,19.67
7,2,16.97,2.15,0.0,19.12
8,1,24.7,3.27,3.05,31.02
8,2,16.02,2.51,0.0,18.54
9,1,13.41,5.15,5.99,24.54
9,2,16.87,2.33,0.0,19.2
10,1,13.79,6.21,6.36,26.35
10,2,18.87,2.61,0.0,21.48
11,1,13.2,3.95,3.89,21.04
11,2,16.33,2.62,0.0,18.95
12,1,13.14,3.77,2.79,19.71
12,2,12.76,2.67,0.0,15.42
13,1,14.33,2.34,0.0,16.67
14,1,12.72,2.74,0.0,15.46
15,1,13.6,2.43,0.0,16.04
16,1,14.26,2.55,0.0,16.81
17,1,14.0,3.9,3.34,21.24
17,2,15.56,4.26,0.0,19.81
18,1,13.21,2.35,0.0,15.55
19,1,12.79,2.73,0.0,15.52
20,1,14.03,3.1,2.24,19.37
20,2,12.39,3.01,2.13,17.53
20,3,13.56,2.2,0.0,15.75
21,1,12.68,2.56,0.0,15.25
22,1,12.8,3.59,3.35,19.74
22,2,27.18,2.33,0.0,29.52
23,1,14.16,3.06,5.33,22.55
23,2,30.9,2.23,0.0,33.12
24,1,11.34,2.81,0.0,14.15
25,1,13.6,2.48,0.0,16.08
26,1,13.23,2.48,0.0,15.71
27,1,15.51,2.67,0.0,18.18
28,1,12.67,2.18,0.0,14.85
29,1,12.31,2.84,0.0,15.15
30,1,12.66,2.46,2.65,17.77
30,2,13.11,2.12,0.0,15.22
31,1,11.81,2.35,0.0,14.16
32,1,12.82,3.18,2.5,18.5
32,2,13.03,2.16,0.0,15.19
33,1,12.15,3.49,4.68,20.32
33,2,14.3,2.31,0.0,16.61
34,1,13.32,4.3,4.71,22.33
34,2,17.41,4.06,4.09,25.55
34,3,18.79,2.54,0.0,21.34
35,1,13.77,2.48,0.0,16.25
36,1,13.4,2.77,0.0,16.17
37,1,14.74,4.11,6.27,25.12
37,2,19.83,4.24,3.06,27.13
37,3,22.64,4.92,0.0,27.56
38,1,13.46,7.46,6.11,27.03
38,2,17.98,4.9,5.44,28.32
38,3,24.28,4.6,0.0,28.87
39,1,11.77,2.33,0.0,14.09
40,1,13.87,2.31,0.0,16.17
41,1,16.87,5.99,16.2,39.07
41,2,20.98,2.64,0.0,23.62
42,1,14.2,7.15,5.48,26.83
42,2,18.39,2.65,0.0,21.04
43,1,13.74,3.53,4.24,21.51
43,2,18.45,4.51,0.0,22.96
44,1,13.26,5.27,12.8,31.34
44,2,13.8,2.4,0.0,16.2
45,1,11.76,2.13,0.0,13.89
46,1,14.42,5.15,5.34,24.91
46,2,20.11,2.4,0.0,22.51
47,1,14.06,2.53,0.0,16.59
48,1,13.28,4.21,4.52,22.01
48,2,16.14,2.48,0.0,18.62
49,1,13.74,2.92,2.23,18.89
49,2,14.43,2.29,0.0,16.72
50,1,12.72,2.15,0.0,14.88
51,1,12.71,4.19,3.7,20.6
51,2,15.52,2.63,0.0,18.15
52,1,14.12,2.78,0.0,16.9
53,1,12.75,3.07,3.93,19.75
53,2,14.34,3.19,0.0,17.53
54,1,15.5,2.49,0.0,17.98
55,1,13.07,2.36,0.0,15.43
56,1,12.15,3.87,3.96,19.97
56,2,16.21,3.66,5.35,25.21
56,3,17.18,2.41,0.0,19.59
57,1,25.94,4.28,0.0,30.22
58,1,12.73,2.49,0.0,15.22
59,1,13.21,2.27,0.0,15.49
60,1,13.08,4.25,5.13,22.47
60,2,137.79,3.49,0.0,141.28
61,1,14.22,2.46,0.0,16.68
62,1,13.28,3.53,3.25,20.07
62,2,16.7,4.57,0.0,21.27
63,1,13.41,5.23,8.23,26.87
63,2,18.71,2.78,0.0,21.5
64,1,10.64,2.75,3.04,16.44
64,2,14.4,2.72,0.0,17.12
65,1,12.98,2.82,0.0,15.8
