feature,origin,frequency,percentage,dynamic_generated_rows
customer_satisfaction,initial,94,94.0,0
product_satisfaction,initial,93,93.0,0
performance_reliability,initial,81,81.0,0
display_quality,initial,32,32.0,0
performance_speed,initial,27,27.0,0
processing_speed,initial,25,25.0,0
ecosystem_compatibility,initial,20,20.0,0
price_competitiveness,initial,17,17.0,0
device_usage_frequency,initial,15,15.0,0
battery_life,dynamic,11,11.0,11
portability,dynamic,8,8.0,8
audio_quality,dynamic,7,7.0,7
data_transfer,initial,7,7.0,0
storage_capacity,dynamic,6,6.0,6
delivery_speed,initial,5,5.0,0
device_syncing,initial,5,5.0,0
accessory_compatibility,dynamic,4,4.0,4
usability,dynamic,4,4.0,4
charging_functionality,initial,4,4.0,0
multitasking_capability,initial,4,4.0,0
device_weight,dynamic,3,3.0,3
gift_suitability,dynamic,3,3.0,3
missing_features,dynamic,3,3.0,3
product_size,dynamic,3,3.0,3
software_compatibility,dynamic,3,3.0,3
value_for_money,dynamic,3,3.0,4
camera_quality,dynamic,2,2.0,2
design_aesthetics,dynamic,2,2.0,2
design_uniqueness,dynamic,2,2.0,2
ease_of_setup,dynamic,2,2.0,2
ease_of_use,dynamic,2,2.0,2
ergonomics,dynamic,2,2.0,2
gps_functionality,dynamic,2,2.0,2
portability_form_factor,dynamic,2,2.0,2
product_weight,dynamic,2,2.0,2
sound_quality,dynamic,2,2.0,2
stylus_compatibility,dynamic,2,2.0,2
touch_sensitivity,dynamic,2,2.0,2
upgrade_compatibility,dynamic,2,2.0,2
usage_scenarios,dynamic,2,2.0,2
weight,dynamic,2,2.0,2
internet_connection_speed,initial,2,2.0,0
accessibility_support,dynamic,1,1.0,1
accessory_requirement,dynamic,1,1.0,1
accessory_requirements,dynamic,1,1.0,1
app_availability,dynamic,1,1.0,1
app_compatibility,dynamic,1,1.0,1
app_ecosystem,dynamic,1,1.0,1
app_ecosystem_access,dynamic,1,1.0,1
application_usage,dynamic,1,1.0,1
audio_device_compatibility,dynamic,1,1.0,1
battery_drain_rate,dynamic,1,1.0,1
battery_durability,dynamic,1,1.0,1
battery_duration,dynamic,1,1.0,1
battery_health_maintenance,dynamic,1,1.0,1
battery_longevity,dynamic,1,1.0,1
bezel_design,dynamic,1,1.0,1
brand_comparison,dynamic,1,1.0,1
brand_reputation,dynamic,1,1.0,1
build_quality,dynamic,1,1.0,1
camera_placement,dynamic,1,1.0,1
case_adjustability,dynamic,1,1.0,1
case_functionality,dynamic,1,1.0,1
casting_capability,dynamic,1,1.0,1
cloud_storage_integration,dynamic,1,1.0,1
color_accuracy,dynamic,1,1.0,1
color_gamut,dynamic,1,1.0,1
color_quality,dynamic,1,1.0,1
color_variations,dynamic,1,1.0,1
communication_functionality,dynamic,1,1.0,1
comparison_preference,dynamic,1,1.0,1
comparison_to_other_models,dynamic,1,1.0,1
comparison_with_previous_model,dynamic,1,1.0,1
compatibility,dynamic,1,1.0,1
connectivity_cellular_data,dynamic,1,1.0,1
connectivity_stability,dynamic,1,1.0,1
creative_input_methods,dynamic,1,1.0,1
customer_support_interaction,dynamic,1,1.0,1
design_change,dynamic,1,1.0,1
device_comparison,dynamic,1,1.0,1
display_mode_compatibility,dynamic,1,1.0,1
display_size,dynamic,1,1.0,1
durability,dynamic,1,1.0,2
feature_satisfaction,dynamic,1,1.0,1
file_management,dynamic,1,1.0,1
fingerprint_sensor_performance,dynamic,1,1.0,1
functionality_meets_expectations,dynamic,1,1.0,1
future_proofing,dynamic,1,1.0,1
future_technology_potential,dynamic,1,1.0,1
gaming_performance,dynamic,1,1.0,1
gift_recipient,dynamic,1,1.0,1
hardware_defect,dynamic,1,1.0,1
headphone_accessory_requirement,dynamic,1,1.0,1
headphone_jack_availability,dynamic,1,1.0,1
home_button,dynamic,1,1.0,1
input_device_usage,dynamic,1,1.0,1
installation_difficulty,dynamic,1,1.0,1
keyboard_accessory_quality,dynamic,1,1.0,1
keyboard_integration,dynamic,1,1.0,1
keyboard_usability,dynamic,1,1.0,1
known_issue_resolution,dynamic,1,1.0,1
learning_curve,dynamic,1,1.0,1
media_consumption,dynamic,1,1.0,1
media_consumption_experience,dynamic,1,1.0,1
message_integration,dynamic,1,1.0,1
mounting_compatibility,dynamic,1,1.0,1
multitasking_interface,dynamic,1,1.0,1
multitasking_usability,dynamic,1,1.0,1
operating_system,dynamic,1,1.0,1
operating_system_efficiency,dynamic,1,1.0,1
operating_system_usability,dynamic,1,1.0,1
order_cancellation,dynamic,1,1.0,1
order_specification_discrepancy,dynamic,1,1.0,1
orientation_preference,dynamic,1,1.0,1
orientation_usage,dynamic,1,1.0,1
os_update_experience,dynamic,1,1.0,1
peripheral_compatibility,dynamic,1,1.0,1
physical_dimensions,dynamic,1,1.0,1
physical_footprint,dynamic,1,1.0,1
physical_size,dynamic,1,1.0,1
port_durability,dynamic,1,1.0,1
portability_size,dynamic,1,1.0,1
power_efficiency,dynamic,1,1.0,1
pricing_policy,dynamic,1,1.0,1
printing_functionality,dynamic,1,1.0,1
product_acceptance,dynamic,1,1.0,1
product_comparison,dynamic,1,1.0,1
product_durability,dynamic,1,1.0,1
product_quality,dynamic,1,1.0,1
product_variant_accuracy,dynamic,1,1.0,1
purchase_decision,dynamic,1,1.0,1
purchase_timing_regret,dynamic,1,1.0,1
recommendation_suitability,dynamic,1,1.0,1
repairability,dynamic,1,1.0,1
replacement_need,dynamic,1,1.0,1
replacement_upgrade,dynamic,1,1.0,1
return_process,dynamic,1,1.0,1
screen_rotation_functionality,dynamic,1,1.0,1
screen_size,dynamic,1,1.0,1
screen_size_comparison,dynamic,1,1.0,1
screen_software,dynamic,1,1.0,1
screen_visual_quality,dynamic,1,1.0,1
scrolling_screen,dynamic,1,1.0,1
security_restrictions,dynamic,1,1.0,1
seller_communication_responsiveness,dynamic,1,1.0,1
seller_politeness,dynamic,1,1.0,1
seller_service,dynamic,1,1.0,1
setup_complexity,dynamic,1,1.0,1
setup_difficulty,dynamic,1,1.0,1
shipping_speed,dynamic,1,1.0,1
size_comparison,dynamic,1,1.0,1
