feature,origin,frequency,percentage,times_generated_as_dynamic
form_factor,initial,9,45.0,0
value_for_money,initial,9,45.0,0
portability,initial,5,25.0,0
price_value,initial,5,25.0,0
battery_life,dynamic,4,20.0,4
display_quality,dynamic,4,20.0,4
camera_quality,dynamic,2,10.0,2
connectivity,dynamic,2,10.0,2
ease_of_setup,dynamic,2,10.0,2
performance_speed,dynamic,2,10.0,2
storage_capacity,dynamic,2,10.0,2
versatility,dynamic,2,10.0,2
product_longevity,initial,2,10.0,0
accessory_compatibility,dynamic,1,5.0,1
annotation_support,dynamic,1,5.0,1
app_ecosystem,dynamic,1,5.0,1
artwork_design_support,dynamic,1,5.0,1
audio_quality,dynamic,1,5.0,1
compatibility,dynamic,1,5.0,1
design_aesthetics,dynamic,1,5.0,1
ease_of_use,dynamic,1,5.0,1
ecosystem_control,dynamic,1,5.0,1
eye_strain_reduction,dynamic,1,5.0,1
gift_suitability,dynamic,1,5.0,1
hardware_reliability,dynamic,1,5.0,1
light_dimming,dynamic,1,5.0,1
membership_requirement,dynamic,1,5.0,1
memory_booster,dynamic,1,5.0,1
music_score_compatibility,dynamic,1,5.0,1
natural_drawing_feel,dynamic,1,5.0,1
night_mode_features,dynamic,1,5.0,1
operating_system,dynamic,1,5.0,1
operating_system_performance,dynamic,1,5.0,1
overall_satisfaction,dynamic,1,5.0,1
pencil_grip_compatibility,dynamic,1,5.0,1
performance,dynamic,1,5.0,1
productivity_software,dynamic,1,5.0,1
reading_app_comparison,dynamic,1,5.0,1
repairability,dynamic,1,5.0,1
return_process,dynamic,1,5.0,1
screen_quality,dynamic,1,5.0,1
screen_rotation_speed,dynamic,1,5.0,1
screen_visibility,dynamic,1,5.0,1
scrolling_screen,dynamic,1,5.0,1
size_accuracy,dynamic,1,5.0,1
stylus_comfort,dynamic,1,5.0,1
stylus_compatibility,dynamic,1,5.0,1
suitability_for_seniors,dynamic,1,5.0,1
time_saving,dynamic,1,5.0,1
touchscreen_responsiveness,dynamic,1,5.0,1
user_experience,dynamic,1,5.0,1
user_friendliness,dynamic,1,5.0,1
video_playback,dynamic,1,5.0,1
virtual_keyboard,dynamic,1,5.0,1
weight,dynamic,1,5.0,1
durability,initial,1,5.0,0
refund_policy,dynamic_not_in_feature_map,0,0.0,1
