feature,origin,frequency,percentage
portability,initial,5,25.0
gaming_performance,initial,0,0.0
durability,initial,1,5.0
value_for_money,initial,9,45.0
form_factor,initial,9,45.0
product_longevity,initial,2,10.0
price_value,initial,5,25.0
shipping_speed,initial,0,0.0
accessory_compatibility,dynamic,1,5.0
annotation_support,dynamic,1,5.0
app_ecosystem,dynamic,1,5.0
artwork_design_support,dynamic,1,5.0
audio_quality,dynamic,1,5.0
battery_life,dynamic,4,20.0
camera_quality,dynamic,2,10.0
compatibility,dynamic,1,5.0
connectivity,dynamic,2,10.0
design_aesthetics,dynamic,1,5.0
display_quality,dynamic,4,20.0
ease_of_setup,dynamic,2,10.0
ease_of_use,dynamic,1,5.0
ecosystem_control,dynamic,1,5.0
eye_strain_reduction,dynamic,1,5.0
gift_suitability,dynamic,1,5.0
hardware_reliability,dynamic,1,5.0
light_dimming,dynamic,1,5.0
membership_requirement,dynamic,1,5.0
memory_booster,dynamic,1,5.0
music_score_compatibility,dynamic,1,5.0
natural_drawing_feel,dynamic,1,5.0
night_mode_features,dynamic,1,5.0
operating_system,dynamic,1,5.0
operating_system_performance,dynamic,1,5.0
overall_satisfaction,dynamic,1,5.0
pencil_grip_compatibility,dynamic,1,5.0
performance,dynamic,1,5.0
performance_speed,dynamic,2,10.0
productivity_software,dynamic,1,5.0
reading_app_comparison,dynamic,1,5.0
refund_policy,dynamic,0,0.0
repairability,dynamic,1,5.0
return_process,dynamic,1,5.0
screen_quality,dynamic,1,5.0
screen_rotation_speed,dynamic,1,5.0
screen_visibility,dynamic,1,5.0
scrolling_screen,dynamic,1,5.0
size_accuracy,dynamic,1,5.0
storage_capacity,dynamic,2,10.0
stylus_comfort,dynamic,1,5.0
stylus_compatibility,dynamic,1,5.0
suitability_for_seniors,dynamic,1,5.0
time_saving,dynamic,1,5.0
touchscreen_responsiveness,dynamic,1,5.0
user_experience,dynamic,1,5.0
user_friendliness,dynamic,1,5.0
versatility,dynamic,2,10.0
video_playback,dynamic,1,5.0
virtual_keyboard,dynamic,1,5.0
weight,dynamic,1,5.0
